chrom	scaffold
Chr01	NW_021937613.1
Chr01	NW_021940872.1
Chr01	NW_021937772.1
Chr01	NW_021938266.1
Chr01	NW_021940498.1
Chr01	NW_021938858.1
Chr01	NW_021938640.1
Chr01	NW_021937673.1
Chr01	NW_021937744.1
Chr01	NW_021939817.1
Chr01	NW_021939706.1
Chr01	NW_021937866.1
Chr01	NW_021940488.1
Chr01	NW_021940122.1
Chr01	NW_021940836.1
Chr01	NW_021940036.1
Chr01	NW_021940208.1
Chr01	NW_021940813.1
Chr01	NW_021938835.1
Chr01	NW_021940851.1
Chr01	NW_021938585.1
Chr01	NW_021938909.1
Chr01	NW_021938894.1
Chr01A	NW_021939025.1
Chr01A	NW_021939012.1
Chr01A	NW_021940038.1
Chr01A	NW_021938845.1
Chr01A	NW_021938030.1
Chr01A	NW_021937857.1
Chr01A	NW_021940104.1
Chr01A	NW_021939642.1
Chr01A	NW_021939121.1
Chr01A	NW_021938144.1
Chr01A	NW_021940320.1
Chr01A	NW_021939047.1
Chr01A	NW_021938449.1
Chr01A	NW_021940724.1
Chr01A	NW_021938999.1
Chr01A	NW_021938725.1
Chr01A	NW_021940682.1
Chr01A	NW_021940867.1
Chr01A	NW_021940861.1
Chr01A	NW_021937701.1
Chr01A	NW_021938292.1
Chr01A	NW_021938440.1
Chr01A	NW_021937928.1
Chr01A	NW_021940729.1
Chr01A	NW_021938821.1
Chr01A	NW_021937556.1
Chr02	NW_021938954.1
Chr02	NW_021937482.1
Chr02	NW_021939195.1
Chr02	NW_021940654.1
Chr02	NW_021939794.1
Chr02	NW_021940280.1
Chr02	NW_021938116.1
Chr02	NW_021940807.1
Chr02	NW_021938920.1
Chr02	NW_021940857.1
Chr02	NW_021937495.1
Chr02	NW_021938979.1
Chr02	NW_021939606.1
Chr02	NW_021939616.1
Chr02	NW_021938455.1
Chr02	NW_021940812.1
Chr02	NW_021940535.1
Chr02	NW_021940121.1
Chr02	NW_021938816.1
Chr02	NW_021939237.1
Chr02	NW_021938830.1
Chr02	NW_021939398.1
